"filename", "language", "JavaScript", "Vue", "TypeScript", "SCSS", "YAML", "Markdown", "JSON", "XML", "HTML", "JSON with Comments", "comment", "blank", "total"
"d:\czcfiles\code\vue-admin-template\src\layout\components\AppMain.vue", "Vue", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 41
"d:\czcfiles\code\vue-admin-template\src\layout\components\Navbar.vue", "Vue", 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 140
"d:\czcfiles\code\vue-admin-template\src\layout\components\Sidebar\FixiOSBug.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 27
"d:\czcfiles\code\vue-admin-template\src\layout\components\Sidebar\Item.vue", "Vue", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"d:\czcfiles\code\vue-admin-template\src\layout\components\Sidebar\Link.vue", "Vue", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 44
"d:\czcfiles\code\vue-admin-template\src\layout\components\Sidebar\Logo.vue", "Vue", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 83
"d:\czcfiles\code\vue-admin-template\src\layout\components\Sidebar\SidebarItem.vue", "Vue", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 96
"d:\czcfiles\code\vue-admin-template\src\layout\components\Sidebar\index.vue", "Vue", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 57
"d:\czcfiles\code\vue-admin-template\src\layout\components\index.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\czcfiles\code\vue-admin-template\src\layout\index.vue", "Vue", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 94
"d:\czcfiles\code\vue-admin-template\src\layout\mixin\ResizeHandler.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 46
"d:\czcfiles\code\vue-admin-template\src\lib\md5.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 40
"d:\czcfiles\code\vue-admin-template\src\main.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 10, 44
"d:\czcfiles\code\vue-admin-template\src\permission.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 65
"d:\czcfiles\code\vue-admin-template\src\router\index.js", "JavaScript", 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 19, 217
"d:\czcfiles\code\vue-admin-template\src\settings.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 17
"d:\czcfiles\code\vue-admin-template\src\store\getters.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\czcfiles\code\vue-admin-template\src\store\index.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"d:\czcfiles\code\vue-admin-template\src\store\modules\app.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 49
"d:\czcfiles\code\vue-admin-template\src\store\modules\settings.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 33
"d:\czcfiles\code\vue-admin-template\src\store\modules\user.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 98
"d:\czcfiles\code\vue-admin-template\src\styles\element-ui.scss", "SCSS", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 5, 10, 50
"d:\czcfiles\code\vue-admin-template\src\styles\index.scss", "SCSS", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 1, 11, 66
"d:\czcfiles\code\vue-admin-template\src\styles\mixin.scss", "SCSS", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 5, 29
"d:\czcfiles\code\vue-admin-template\src\styles\sidebar.scss", "SCSS", 0, 0, 0, 180, 0, 0, 0, 0, 0, 0, 6, 41, 227
"d:\czcfiles\code\vue-admin-template\src\styles\transition.scss", "SCSS", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 4, 10, 49
"d:\czcfiles\code\vue-admin-template\src\styles\variables.scss", "SCSS", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 5, 26
"d:\czcfiles\code\vue-admin-template\src\types\promise-plus.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\czcfiles\code\vue-admin-template\src\utils\auth.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"d:\czcfiles\code\vue-admin-template\src\utils\get-page-title.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\czcfiles\code\vue-admin-template\src\utils\index.js", "JavaScript", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 7, 118
"d:\czcfiles\code\vue-admin-template\src\utils\request.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 7, 89
"d:\czcfiles\code\vue-admin-template\src\utils\validate.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 3, 20
"d:\czcfiles\code\vue-admin-template\src\views\404.vue", "Vue", 0, 225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 229
"d:\czcfiles\code\vue-admin-template\src\views\admin\info\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\czcfiles\code\vue-admin-template\src\views\dashboard\index.vue", "Vue", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 60
"d:\czcfiles\code\vue-admin-template\src\views\forum\comment\index.vue", "Vue", 0, 349, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 355
"d:\czcfiles\code\vue-admin-template\src\views\forum\essay\index.vue", "Vue", 0, 349, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 355
"d:\czcfiles\code\vue-admin-template\src\views\login\index.vue", "Vue", 0, 216, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25, 244
"d:\czcfiles\code\vue-admin-template\src\views\movie\comment\index.vue", "Vue", 0, 261, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 265
"d:\czcfiles\code\vue-admin-template\src\views\movie\list\index.vue", "Vue", 0, 238, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 244
"d:\czcfiles\code\vue-admin-template\src\views\movie\video\addFrom.vue", "Vue", 0, 316, 0, 0, 0, 0, 0, 0, 0, 0, 23, 5, 344
"d:\czcfiles\code\vue-admin-template\src\views\movie\video\components\step1.vue", "Vue", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 82
"d:\czcfiles\code\vue-admin-template\src\views\movie\video\components\step2.vue", "Vue", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 79
"d:\czcfiles\code\vue-admin-template\src\views\movie\video\index.vue", "Vue", 0, 181, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 187
"d:\czcfiles\code\vue-admin-template\src\views\system\home\carousel\index.vue", "Vue", 0, 326, 0, 0, 0, 0, 0, 0, 0, 0, 24, 5, 355
"d:\czcfiles\code\vue-admin-template\src\views\system\home\index.vue", "Vue", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\czcfiles\code\vue-admin-template\src\views\system\home\recommender\index.vue", "Vue", 0, 352, 0, 0, 0, 0, 0, 0, 0, 0, 21, 5, 378
"d:\czcfiles\code\vue-admin-template\src\views\system\log\index.vue", "Vue", 0, 248, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 258
"d:\czcfiles\code\vue-admin-template\src\views\testType.vue", "Vue", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\czcfiles\code\vue-admin-template\src\views\type\index.vue", "Vue", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\czcfiles\code\vue-admin-template\src\views\type\list\index.vue", "Vue", 0, 279, 0, 0, 0, 0, 0, 0, 0, 0, 19, 4, 302
"d:\czcfiles\code\vue-admin-template\src\views\user\index.vue", "Vue", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\czcfiles\code\vue-admin-template\src\views\user\list\index.vue", "Vue", 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 27, 4, 176
"d:\czcfiles\code\vue-admin-template\tests\unit\.eslintrc.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\czcfiles\code\vue-admin-template\tests\unit\components\Breadcrumb.spec.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 5, 99
"d:\czcfiles\code\vue-admin-template\tests\unit\components\Hamburger.spec.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"d:\czcfiles\code\vue-admin-template\tests\unit\components\SvgIcon.spec.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"d:\czcfiles\code\vue-admin-template\tests\unit\utils\formatTime.spec.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"d:\czcfiles\code\vue-admin-template\tests\unit\utils\param2Obj.spec.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\czcfiles\code\vue-admin-template\tests\unit\utils\parseTime.spec.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
"d:\czcfiles\code\vue-admin-template\tests\unit\utils\validate.spec.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"d:\czcfiles\code\vue-admin-template\vue.config.js", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 8, 124
"Total", "-", 1774, 4700, 1, 346, 10, 133, 66, 11, 16, 5, 402, 560, 8024
